SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
21995,77142,0029501184,"APR 21, 1996",LAL @ POR,W,33,1,7.0,0.143,0,1.0,0.0,4,6,0.667,1.0,2.0,3.0,10.0,3.0,0.0,2.0,1.0,6,,0
21995,77142,0029501132,"APR 14, 1996",LAL vs. PHX,W,8,3,4.0,0.75,0,0.0,0.0,2,2,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,8,,0
21995,77142,0029501114,"APR 12, 1996",LAL vs. GOS,W,26,4,7.0,0.571,0,2.0,0.0,2,2,1.0,1.0,1.0,2.0,9.0,0.0,0.0,2.0,0.0,10,,0
21995,77142,0029501103,"APR 10, 1996",LAL @ MIN,W,28,2,5.0,0.4,0,1.0,0.0,2,2,1.0,0.0,10.0,10.0,11.0,0.0,2.0,4.0,3.0,6,,0
21995,77142,0029501096,"APR 09, 1996",LAL @ DEN,L,26,3,13.0,0.231,2,4.0,0.5,6,8,0.75,1.0,7.0,8.0,2.0,0.0,2.0,2.0,1.0,14,,0
21995,77142,0029501079,"APR 07, 1996",LAL vs. SAN,W,41,4,11.0,0.364,2,3.0,0.667,5,6,0.833,2.0,7.0,9.0,7.0,1.0,0.0,5.0,1.0,15,,0
21995,77142,0029501050,"APR 03, 1996",LAL @ CLE,L,39,8,13.0,0.615,3,5.0,0.6,7,7,1.0,2.0,6.0,8.0,4.0,0.0,0.0,5.0,3.0,26,,0
21995,77142,0029501041,"APR 02, 1996",LAL @ CHH,L,38,0,4.0,0.0,0,1.0,0.0,10,11,0.909,0.0,6.0,6.0,10.0,0.0,0.0,1.0,0.0,10,,0
21995,77142,0029501028,"MAR 31, 1996",LAL @ TOR,W,34,5,12.0,0.417,0,2.0,0.0,9,10,0.9,1.0,3.0,4.0,6.0,0.0,0.0,5.0,2.0,19,,0
21995,77142,0029501011,"MAR 29, 1996",LAL @ ATL,W,42,6,17.0,0.353,0,0.0,0.0,4,4,1.0,1.0,9.0,10.0,9.0,0.0,0.0,2.0,1.0,16,,0
21995,77142,0029500997,"MAR 27, 1996",LAL @ MIA,W,39,6,8.0,0.75,0,0.0,0.0,15,15,1.0,1.0,8.0,9.0,9.0,1.0,0.0,4.0,1.0,27,,0
21995,77142,0029500990,"MAR 26, 1996",LAL @ ORL,W,36,4,8.0,0.5,2,2.0,1.0,4,4,1.0,0.0,4.0,4.0,7.0,2.0,1.0,6.0,1.0,14,,0
21995,77142,0029500979,"MAR 24, 1996",LAL vs. CHH,L,39,9,12.0,0.75,1,2.0,0.5,9,10,0.9,0.0,8.0,8.0,5.0,0.0,2.0,7.0,2.0,28,,0
21995,77142,0029500955,"MAR 21, 1996",LAL @ SEA,L,39,7,18.0,0.389,1,3.0,0.333,2,4,0.5,3.0,4.0,7.0,3.0,0.0,0.0,3.0,4.0,17,,0
21995,77142,0029500936,"MAR 19, 1996",LAL vs. SEA,W,34,4,6.0,0.667,1,3.0,0.333,5,5,1.0,1.0,4.0,5.0,10.0,1.0,0.0,0.0,1.0,14,,0
21995,77142,0029500927,"MAR 17, 1996",LAL vs. ORL,L,33,4,11.0,0.364,1,1.0,1.0,1,1,1.0,2.0,2.0,4.0,5.0,1.0,0.0,2.0,3.0,10,,0
21995,77142,0029500909,"MAR 15, 1996",LAL vs. MIL,W,22,6,8.0,0.75,1,1.0,1.0,7,8,0.875,0.0,2.0,2.0,8.0,1.0,0.0,2.0,2.0,20,,0
21995,77142,0029500902,"MAR 14, 1996",LAL @ GOS,W,34,6,12.0,0.5,0,3.0,0.0,9,10,0.9,1.0,3.0,4.0,6.0,0.0,1.0,3.0,1.0,21,,0
21995,77142,0029500886,"MAR 12, 1996",LAL vs. POR,L,28,1,6.0,0.167,1,2.0,0.5,2,2,1.0,1.0,4.0,5.0,8.0,1.0,1.0,4.0,1.0,5,,0
21995,77142,0029500866,"MAR 08, 1996",LAL @ PHX,W,32,4,7.0,0.571,0,2.0,0.0,4,4,1.0,2.0,4.0,6.0,8.0,0.0,0.0,6.0,2.0,12,,0
21995,77142,0029500853,"MAR 07, 1996",LAL @ SAC,W,30,5,10.0,0.5,1,2.0,0.5,4,4,1.0,1.0,4.0,5.0,7.0,1.0,0.0,5.0,1.0,15,,0
21995,77142,0029500823,"MAR 03, 1996",LAL vs. HOU,L,26,4,10.0,0.4,0,1.0,0.0,6,10,0.6,4.0,3.0,7.0,5.0,2.0,0.0,7.0,4.0,14,,0
21995,77142,0029500810,"MAR 01, 1996",LAL vs. WAS,W,15,1,3.0,0.333,1,1.0,1.0,2,2,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,5,,0
21995,77142,0029500761,"FEB 24, 1996",LAL @ HOU,L,11,1,2.0,0.5,0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,2,,0
21995,77142,0029500733,"FEB 20, 1996",LAL vs. LAC,W,1,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
21995,77142,0029500705,"FEB 16, 1996",LAL vs. DAL,W,31,10,15.0,0.667,1,2.0,0.5,9,10,1.0,3.0,5.0,8.0,11.0,2.0,2.0,3.0,0.0,30,,0
21995,77142,0029500689,"FEB 14, 1996",LAL vs. ATL,W,39,5,9.0,0.556,1,2.0,0.5,4,8,0.5,1.0,9.0,10.0,13.0,1.0,0.0,4.0,3.0,15,,0
21995,77142,0029500665,"FEB 07, 1996",LAL vs. NJN,W,31,5,16.0,0.313,1,3.0,0.333,7,8,0.875,3.0,6.0,9.0,8.0,2.0,1.0,2.0,1.0,18,,0
21995,77142,0029500657,"FEB 06, 1996",LAL @ DEN,W,33,3,5.0,0.6,0,1.0,0.0,10,12,0.833,2.0,7.0,9.0,12.0,2.0,1.0,5.0,1.0,16,,0
21995,77142,0029500646,"FEB 04, 1996",LAL vs. UTH,W,31,3,8.0,0.375,0,3.0,0.0,15,18,0.833,2.0,5.0,7.0,6.0,1.0,0.0,2.0,1.0,21,,0
21995,77142,0029500631,"FEB 02, 1996",LAL vs. CHI,L,32,6,13.0,0.462,2,3.0,0.667,1,2,0.5,2.0,1.0,3.0,3.0,1.0,0.0,3.0,0.0,15,,0
