SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22002,893,0020201178,"APR 16, 2003",WAS @ PHI,L,28,6,15,0.4,0,0.0,0.0,3,4,0.75,0.0,4.0,4,4,0.0,0.0,2.0,0.0,15,-12.0,0
22002,893,0020201164,"APR 14, 2003",WAS vs. NYK,L,38,9,22,0.409,0,3.0,0.0,3,3,1.0,1.0,7.0,8,1,1.0,0.0,2.0,1.0,21,-11.0,0
22002,893,0020201150,"APR 12, 2003",WAS vs. ATL,L,30,8,16,0.5,0,0.0,0.0,1,2,0.5,2.0,6.0,8,6,1.0,1.0,2.0,3.0,17,12.0,0
22002,893,0020201140,"APR 11, 2003",WAS @ MIA,W,40,11,26,0.423,0,1.0,0.0,3,3,1.0,1.0,1.0,2,4,2.0,0.0,1.0,2.0,25,2.0,0
22002,893,0020201125,"APR 09, 2003",WAS vs. BOS,L,43,8,17,0.471,1,2.0,0.5,4,4,1.0,0.0,10.0,10,1,2.0,0.0,1.0,2.0,21,0.0,0
22002,893,0020201115,"APR 08, 2003",WAS @ CLE,W,46,10,19,0.526,1,1.0,1.0,5,5,1.0,3.0,7.0,10,3,3.0,1.0,1.0,0.0,26,11.0,0
22002,893,0020201104,"APR 06, 2003",WAS @ BOS,W,47,10,22,0.455,1,1.0,1.0,4,4,1.0,2.0,11.0,13,7,2.0,0.0,2.0,3.0,25,-9.0,0
22002,893,0020201085,"APR 03, 2003",WAS @ ATL,L,43,10,23,0.435,0,1.0,0.0,2,2,1.0,1.0,13.0,14,7,2.0,0.0,0.0,2.0,22,-5.0,0
22002,893,0020201079,"APR 02, 2003",WAS vs. SAC,L,42,8,17,0.471,0,0.0,0.0,1,2,0.5,0.0,1.0,1,4,0.0,0.0,1.0,2.0,17,-2.0,0
22002,893,0020201060,"MAR 30, 2003",WAS @ DEN,L,38,9,23,0.391,0,1.0,0.0,1,2,0.5,1.0,4.0,5,2,1.0,0.0,5.0,1.0,19,-20.0,0
